MgO_ID,Structure,E_ads
100_1,"{'numbers': [8, 12, 8, 12, 12, 12, 8, 8, 12, 12, 12, 12, 8, 8, 8, 12, 8, 8, 12, 12, 12, 8, 8, 8, 8, 12, 8, 8, 6], 'positions': [[3.85891542, 1.71783103, 4.95759902], [6.00000014, 1.71783097, 4.91875674], [8.1410845, 1.71783099, 4.95759905], [1.71783106, 6.0000002, 4.91875678], [3.85891537, 3.85891549, 4.91875685], [3.8589154, 6.00000039, 2.79765354], [3.85891542, 6.00000018, 4.95759902], [1.71783096, 3.85891552, 4.95759913], [5.9999999, 3.85891551, 2.79765355], [5.99999987, 6.00000028, 4.91875671], [8.1410846, 3.8589152, 4.91875692], [8.14108451, 6.0000003, 2.7976536], [8.14108452, 6.00000019, 4.95759902], [5.99999996, 3.85891551, 4.9575991], [5.99999993, 6.00000021, 2.79324329], [3.85891548, 8.14108465, 4.9187568], [3.85891542, 10.28216903, 4.95759902], [1.71783094, 8.14108469, 4.957599], [6.00000005, 8.14108474, 2.79765338], [6.00000014, 10.28216897, 4.91875674], [8.14108452, 8.1410849, 4.9187567], [8.1410845, 10.28216899, 4.95759905], [5.99999999, 8.14108469, 4.95759899], [5.99999987, 6.00000028, 6.84875671], [5.99999987, 6.00000028, 9.20675671], [10.28216906, 6.0000002, 4.91875678], [10.28216896, 3.85891552, 4.95759913], [10.28216894, 8.14108469, 4.957599], [5.99999987, 6.00000028, 8.02775671]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.999999146226,3.83677575802574]"
100_2,"{'numbers': [8, 12, 8, 12, 12, 12, 8, 8, 8, 12, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 12, 8, 8, 8, 12, 8, 8, 8, 8, 6], 'positions': [[1.71783095, 3.85891531, 6.01209899], [1.71783105, 5.99999953, 5.97325687], [1.71783096, 8.14108452, 6.01209896], [3.85891523, 3.85891537, 5.97325674], [5.99999993, 1.71783098, 5.97325674], [5.99999981, 3.85891531, 3.85215354], [5.99999987, 3.85891536, 6.01209897], [3.85891539, 1.71783102, 6.01209894], [3.85891537, 3.85891539, 3.84774335], [8.14108459, 3.8589153, 5.97325669], [10.28216895, 3.85891531, 6.01209899], [8.14108444, 1.71783102, 6.01209893], [8.14108444, 3.85891532, 3.84774328], [3.85891546, 5.99999985, 3.8521536], [3.85891551, 8.14108453, 5.97325673], [5.99999982, 5.99999982, 5.9732568], [5.99999985, 8.14108472, 3.85215349], [5.99999986, 5.99999992, 3.8477432], [5.99999987, 8.14108451, 6.01209896], [3.85891541, 5.99999985, 6.01209908], [3.85891543, 8.14108452, 3.84774327], [8.14108435, 5.99999983, 3.8521535], [8.14108432, 8.14108461, 5.97325665], [10.28216905, 5.99999953, 5.97325687], [10.28216896, 8.14108452, 6.01209896], [8.14108441, 5.99999983, 6.01209905], [8.14108438, 8.14108454, 3.84774324], [5.99999993, 10.28216898, 5.97325674], [3.85891539, 10.28216902, 6.01209894], [8.14108444, 10.28216902, 6.01209893], [7.17899982, 5.99999982, 8.1522568], [4.82099982, 5.99999982, 8.1522568], [5.99999982, 5.99999982, 8.1522568]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.784209117212,3.57068525684352]"
100_3,"{'numbers': [8, 12, 8, 12, 12, 12, 8, 8, 8, 12, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 12, 8, 8, 8, 12, 8, 8, 8, 8, 6], 'positions': [[1.71783095, 3.85891531, 6.01209899], [1.71783105, 5.99999953, 5.97325687], [1.71783096, 8.14108452, 6.01209896], [3.85891523, 3.85891537, 5.97325674], [5.99999993, 1.71783098, 5.97325674], [5.99999981, 3.85891531, 3.85215354], [5.99999987, 3.85891536, 6.01209897], [3.85891539, 1.71783102, 6.01209894], [3.85891537, 3.85891539, 3.84774335], [8.14108459, 3.8589153, 5.97325669], [10.28216895, 3.85891531, 6.01209899], [8.14108444, 1.71783102, 6.01209893], [8.14108444, 3.85891532, 3.84774328], [3.85891546, 5.99999985, 3.8521536], [3.85891551, 8.14108453, 5.97325673], [5.99999982, 5.99999982, 5.9732568], [5.99999985, 8.14108472, 3.85215349], [5.99999986, 5.99999992, 3.8477432], [5.99999987, 8.14108451, 6.01209896], [3.85891541, 5.99999985, 6.01209908], [3.85891543, 8.14108452, 3.84774327], [8.14108435, 5.99999983, 3.8521535], [8.14108432, 8.14108461, 5.97325665], [10.28216905, 5.99999953, 5.97325687], [10.28216896, 8.14108452, 6.01209896], [8.14108441, 5.99999983, 6.01209905], [8.14108438, 8.14108454, 3.84774324], [5.99999993, 10.28216898, 5.97325674], [3.85891539, 10.28216902, 6.01209894], [8.14108444, 10.28216902, 6.01209893], [6.83367871, 5.16632093, 8.1522568], [5.16632092, 6.83367872, 8.1522568], [5.99999982, 5.99999982, 8.1522568]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.607102419972,3.47822267636304]"
100_4,"{'numbers': [12, 12, 8, 12, 12, 8, 8, 8, 12, 12, 8, 8, 8, 12, 12, 12, 8, 8, 8, 8, 12, 12, 8, 8, 8, 12, 12, 8, 6], 'positions': [[1.71783086, 3.85891526, 4.77483561], [3.85891556, 1.71783088, 4.77483562], [3.8589155, 3.85891526, 4.81367784], [6.00000022, 3.85891519, 4.77483557], [8.1410846, 1.71783112, 4.77483552], [8.14108458, 3.85891521, 4.81367787], [6.00000007, 1.71783092, 4.81367781], [6.00000007, 3.85891522, 2.64932216], [1.71783114, 8.14108443, 4.7748356], [3.85891545, 5.99999972, 4.77483567], [3.85891549, 5.99999981, 2.64932208], [3.8589155, 8.14108441, 4.81367784], [1.71783104, 5.99999975, 4.81367795], [5.99999998, 5.99999973, 2.65373237], [5.99999995, 8.1410845, 4.77483553], [8.14108468, 5.99999942, 4.77483574], [8.14108458, 5.99999971, 2.64932215], [8.1410846, 8.14108441, 4.81367784], [6.00000004, 5.99999973, 4.81367792], [6.00000001, 8.14108444, 2.64932212], [3.85891556, 10.28216888, 4.77483562], [8.1410846, 10.28216912, 4.77483552], [6.00000007, 10.28216892, 4.81367781], [6.00000004, 5.99999973, 6.99267792], [6.00000004, 5.99999973, 9.35067792], [10.28216886, 3.85891526, 4.77483561], [10.28216914, 8.14108443, 4.7748356], [10.28216904, 5.99999975, 4.81367795], [6.00000004, 5.99999973, 8.17167792]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.999996693348,4.3445664928554]"
100_5,"{'numbers': [12, 12, 12, 8, 12, 12, 12, 8, 8, 8, 12, 12, 12, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 8, 8, 8, 12, 12, 8, 6], 'positions': [[1.71783086, 3.85891526, 5.95383561], [3.85891556, 1.71783088, 5.95383562], [3.85891544, 3.85891521, 3.83273241], [3.8589155, 3.85891526, 5.99267784], [6.00000022, 3.85891519, 5.95383557], [8.1410846, 1.71783112, 5.95383552], [8.14108459, 3.85891502, 3.8327325], [8.14108458, 3.85891521, 5.99267787], [6.00000007, 1.71783092, 5.99267781], [6.00000007, 3.85891522, 3.82832216], [1.71783114, 8.14108443, 5.9538356], [3.85891545, 5.99999972, 5.95383567], [3.85891548, 8.14108462, 3.83273236], [3.85891549, 5.99999981, 3.82832208], [3.8589155, 8.14108441, 5.99267784], [1.71783104, 5.99999975, 5.99267795], [5.99999998, 5.99999973, 3.83273237], [5.99999995, 8.1410845, 5.95383553], [8.14108468, 5.99999942, 5.95383574], [8.14108458, 8.14108453, 3.83273242], [8.14108458, 5.99999971, 3.82832215], [8.1410846, 8.14108441, 5.99267784], [6.00000004, 5.99999973, 5.99267792], [6.00000001, 8.14108444, 3.82832212], [3.85891556, 10.28216888, 5.95383562], [8.1410846, 10.28216912, 5.95383552], [6.00000007, 10.28216892, 5.99267781], [7.17900004, 5.99999973, 8.17167792], [4.82100004, 5.99999973, 8.17167792], [10.28216886, 3.85891526, 5.95383561], [10.28216914, 8.14108443, 5.9538356], [10.28216904, 5.99999975, 5.99267795], [6.00000004, 5.99999973, 8.17167792]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[155.008401605404,2.05591176865208]"
100_6,"{'numbers': [12, 12, 12, 8, 12, 12, 12, 8, 8, 8, 12, 12, 12, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 8, 8, 8, 12, 12, 8, 6], 'positions': [[1.71783086, 3.85891526, 5.95383561], [3.85891556, 1.71783088, 5.95383562], [3.85891544, 3.85891521, 3.83273241], [3.8589155, 3.85891526, 5.99267784], [6.00000022, 3.85891519, 5.95383557], [8.1410846, 1.71783112, 5.95383552], [8.14108459, 3.85891502, 3.8327325], [8.14108458, 3.85891521, 5.99267787], [6.00000007, 1.71783092, 5.99267781], [6.00000007, 3.85891522, 3.82832216], [1.71783114, 8.14108443, 5.9538356], [3.85891545, 5.99999972, 5.95383567], [3.85891548, 8.14108462, 3.83273236], [3.85891549, 5.99999981, 3.82832208], [3.8589155, 8.14108441, 5.99267784], [1.71783104, 5.99999975, 5.99267795], [5.99999998, 5.99999973, 3.83273237], [5.99999995, 8.1410845, 5.95383553], [8.14108468, 5.99999942, 5.95383574], [8.14108458, 8.14108453, 3.83273242], [8.14108458, 5.99999971, 3.82832215], [8.1410846, 8.14108441, 5.99267784], [6.00000004, 5.99999973, 5.99267792], [6.00000001, 8.14108444, 3.82832212], [3.85891556, 10.28216888, 5.95383562], [8.1410846, 10.28216912, 5.95383552], [6.00000007, 10.28216892, 5.99267781], [6.83367893, 5.16632084, 8.17167792], [5.16632114, 6.83367863, 8.17167792], [10.28216886, 3.85891526, 5.95383561], [10.28216914, 8.14108443, 5.9538356], [10.28216904, 5.99999975, 5.99267795], [6.00000004, 5.99999973, 8.17167792]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.098663421725,3.10699402986191]"
100_7,"{'numbers': [12, 12, 12, 8, 12, 8, 8, 12, 12, 12, 8, 8, 8, 12, 12, 12, 8, 8, 12, 8, 8, 8, 6], 'positions': [[2.78837309, 3.85891537, 4.78454617], [4.92945779, 1.71783098, 4.78454618], [4.92945767, 3.85891531, 2.66344298], [4.92945773, 3.85891536, 4.8233884], [7.07054245, 3.8589153, 4.78454613], [9.21162681, 3.85891531, 4.82338843], [7.0705423, 1.71783102, 4.82338837], [2.78837337, 8.14108453, 4.78454616], [4.92945768, 5.99999982, 4.78454624], [4.92945771, 8.14108472, 2.66344293], [4.92945772, 5.99999992, 2.65903264], [4.92945773, 8.14108451, 4.8233884], [2.78837327, 5.99999985, 4.82338852], [7.07054221, 5.99999983, 2.66344293], [7.07054218, 8.14108461, 4.78454609], [9.21162691, 5.99999953, 4.78454631], [9.21162682, 8.14108452, 4.8233884], [7.07054227, 5.99999983, 4.82338848], [4.92945779, 10.28216898, 4.78454618], [7.0705423, 10.28216902, 4.82338837], [5.99999997, 5.99999983, 6.98296736], [5.99999997, 5.99999983, 9.34096736], [5.99999997, 5.99999983, 8.16196736]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.912788829339,3.87262853664039]"
100_8,"{'numbers': [12, 12, 12, 12, 8, 8, 8, 12, 12, 12, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 8, 12, 8, 8, 8, 8, 6], 'positions': [[0.64728882, 5.99999942, 5.96354631], [2.788373, 3.85891526, 5.96354617], [4.9294577, 1.71783088, 5.96354618], [4.92945758, 3.85891521, 3.84244298], [4.92945764, 3.85891526, 6.0023884], [2.78837316, 1.71783092, 6.00238838], [2.78837314, 3.85891529, 3.83803279], [7.07054236, 3.85891519, 5.96354613], [9.21162674, 1.71783112, 5.96354608], [9.21162673, 3.85891502, 3.84244306], [9.21162672, 3.85891521, 6.00238843], [7.07054221, 1.71783092, 6.00238837], [7.07054221, 3.85891522, 3.83803272], [2.78837323, 5.99999975, 3.84244304], [2.78837328, 8.14108443, 5.96354616], [4.92945759, 5.99999972, 5.96354624], [4.92945762, 8.14108462, 3.84244293], [4.92945763, 5.99999981, 3.83803264], [4.92945764, 8.14108441, 6.0023884], [2.78837318, 5.99999975, 6.00238852], [2.7883732, 8.14108442, 3.83803271], [7.07054212, 5.99999973, 3.84244293], [7.07054209, 8.1410845, 5.96354609], [9.21162682, 5.99999942, 5.96354631], [9.21162672, 8.14108453, 3.84244298], [9.21162672, 5.99999971, 3.83803271], [9.21162673, 8.14108441, 6.0023884], [7.07054218, 5.99999973, 6.00238848], [7.07054215, 8.14108444, 3.83803268], [4.9294577, 10.28216888, 5.96354618], [2.78837316, 10.28216892, 6.00238838], [9.21162674, 10.28216912, 5.96354608], [7.07054221, 10.28216892, 6.00238837], [5.99999988, 7.17899973, 8.16196736], [5.99999988, 4.82099973, 8.16196736], [11.35271118, 5.99999975, 6.00238852], [5.99999988, 5.99999973, 8.16196736]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[178.990575193849,3.19613350254964]"
100_9,"{'numbers': [12, 8, 12, 8, 12, 12, 12, 8, 8, 8, 12, 12, 12, 8, 8, 8, 12, 8, 12, 8, 8, 8, 6], 'positions': [[2.78837309, 2.7883731, 4.7845462], [4.92945773, 2.7883731, 4.82338843], [7.07054245, 2.78837304, 4.78454616], [9.21162681, 2.78837305, 4.82338846], [2.78837337, 7.07054227, 4.78454619], [4.92945768, 4.92945756, 4.78454626], [4.92945771, 7.07054246, 2.66344296], [4.92945772, 4.92945766, 2.65903267], [4.92945773, 7.07054225, 4.82338843], [2.78837327, 4.92945759, 4.82338854], [7.07054221, 4.92945757, 2.66344296], [7.07054218, 7.07054235, 4.78454612], [9.21162691, 4.92945727, 4.78454634], [9.21162682, 7.07054226, 4.82338843], [7.07054227, 4.92945757, 4.82338851], [7.07054224, 7.07054228, 2.65903271], [4.92945779, 9.21162672, 4.78454621], [2.78837325, 9.21162676, 4.82338841], [9.21162683, 9.21162696, 4.78454611], [7.0705423, 9.21162676, 4.8233884], [5.99999996, 5.99999993, 6.98296733], [5.99999996, 5.99999993, 9.34096733], [5.99999996, 5.99999993, 8.16196733]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.998243004777,4.30791673265309]"
100_10,"{'numbers': [12, 8, 12, 12, 12, 8, 12, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 12, 12, 12, 8, 8, 8, 8, 12, 8, 8, 8, 12, 12, 12, 8, 8, 8, 12, 8, 6], 'positions': [[0.64728881, 4.92945736, 5.96354634], [0.64728873, 7.07054235, 6.00238843], [2.788373, 2.7883732, 5.9635462], [4.92945769, 0.64728881, 5.96354621], [4.92945757, 2.78837314, 3.84244301], [4.92945764, 2.78837319, 6.00238843], [7.07054236, 2.78837313, 5.96354616], [9.21162672, 2.78837314, 6.00238846], [7.07054221, 0.64728885, 6.0023884], [7.07054221, 2.78837315, 3.83803275], [2.78837323, 4.92945769, 3.84244307], [2.78837327, 7.07054236, 5.96354619], [4.92945758, 4.92945765, 5.96354626], [4.92945762, 7.07054255, 3.84244296], [4.92945762, 4.92945775, 3.83803267], [4.92945763, 7.07054234, 6.00238843], [2.78837318, 4.92945768, 6.00238854], [2.7883732, 7.07054236, 3.83803273], [7.07054211, 4.92945767, 3.84244296], [7.07054208, 7.07054244, 5.96354612], [9.21162681, 4.92945736, 5.96354634], [9.21162672, 7.07054246, 3.84244301], [9.21162672, 4.92945764, 3.83803274], [9.21162673, 7.07054235, 6.00238843], [7.07054217, 4.92945767, 6.00238851], [7.07054215, 7.07054237, 3.83803271], [4.92945769, 9.21162681, 5.96354621], [4.92945766, 9.21162681, 3.83803273], [4.92945764, 11.35271119, 6.00238843], [2.78837316, 9.21162685, 6.00238841], [7.07054226, 9.21162689, 3.84244279], [7.07054236, 11.35271113, 5.96354616], [9.21162673, 9.21162706, 5.96354611], [7.07054221, 9.21162685, 6.0023884], [5.16632097, 6.83367892, 8.16196733], [6.83367876, 5.16632113, 8.16196733], [11.35271127, 7.07054236, 5.96354619], [11.35271118, 4.92945768, 6.00238854], [5.99999987, 6.00000002, 8.16196733]], 'cell': [[12.0, 0.0, 0.0], [0.0, 12.0, 0.0], [0.0, 0.0, 12.0]], 'pbc': [False, False, False]}","[179.819058821069,3.90056419919099]"
